ENSG00000000419	476
ENSG00000000457	839
ENSG00000000460	240
ENSG00000000938	362
ENSG00000000971	319
ENSG00000001036	1468
ENSG00000001084	277
ENSG00000001167	583
ENSG00000001460	1690
ENSG00000001461	1663
ENSG00000001561	441
ENSG00000001617	1387
ENSG00000001626	597
ENSG00000001629	2993
ENSG00000001630	152
ENSG00000001631	984
ENSG00000002016	619
ENSG00000002330	862
ENSG00000002549	887
ENSG00000002587	1120
ENSG00000002726	598
ENSG00000002745	2775
ENSG00000002746	198
ENSG00000002822	929
ENSG00000002834	968
ENSG00000002919	2617
ENSG00000002933	767
ENSG00000003056	1042
ENSG00000003137	1220
ENSG00000003147	2521
ENSG00000003249	111
ENSG00000003393	554
ENSG00000003400	1172
ENSG00000003402	810
ENSG00000003436	115
ENSG00000003509	922
ENSG00000003756	849
ENSG00000003987	62
ENSG00000003989	257
ENSG00000004059	2168
ENSG00000004139	671
ENSG00000004142	559
ENSG00000004399	1639
ENSG00000004455	1294
ENSG00000004468	369
ENSG00000004478	388
ENSG00000004487	1497
ENSG00000004534	798
ENSG00000004660	662
ENSG00000004700	170
ENSG00000004766	28
ENSG00000004776	752
ENSG00000004777	451
ENSG00000004779	186
ENSG00000004799	181
ENSG00000004809	486
ENSG00000004838	911
ENSG00000004846	476
ENSG00000004864	3549
ENSG00000004866	1191
ENSG00000004897	3820
ENSG00000004939	197
ENSG00000004948	114
ENSG00000004975	2312
ENSG00000005001	1
ENSG00000005007	632
ENSG00000005020	6572
ENSG00000005059	69
ENSG00000005073	1860
ENSG00000005075	15
ENSG00000005100	219
ENSG00000005102	488
ENSG00000005108	1189
ENSG00000005156	2033
ENSG00000005175	2631
ENSG00000005187	1028
ENSG00000005189	9
ENSG00000005194	414
ENSG00000005206	296
ENSG00000005238	2206
ENSG00000005243	3309
ENSG00000005249	752
ENSG00000005339	767
ENSG00000005379	373
ENSG00000005381	1063
ENSG00000005421	371
ENSG00000005436	55
ENSG00000005448	435
ENSG00000005469	1089
ENSG00000005471	258
ENSG00000005483	2293
ENSG00000005486	1626
ENSG00000005513	91
ENSG00000005700	859
ENSG00000005801	147
ENSG00000005810	2266
ENSG00000005812	315
ENSG00000005844	1089
ENSG00000005882	1087
ENSG00000005884	509
ENSG00000005961	1055
ENSG00000005981	878
ENSG00000006007	1043
ENSG00000006015	968
ENSG00000006016	502
ENSG00000006025	963
ENSG00000006042	191
ENSG00000006047	2843
ENSG00000006059	713
ENSG00000006062	2099
ENSG00000006071	383
ENSG00000006116	212
ENSG00000006118	1710
ENSG00000006125	2470
ENSG00000006128	119
ENSG00000006194	343
ENSG00000006210	292
ENSG00000006282	2403
ENSG00000006283	2509
ENSG00000006327	349
ENSG00000006377	2416
ENSG00000006432	1072
ENSG00000006451	661
ENSG00000006453	856
ENSG00000006459	1126
ENSG00000006468	1005
ENSG00000006530	443
ENSG00000006534	429
ENSG00000006555	1463
ENSG00000006576	2591
ENSG00000006606	235
ENSG00000006607	279
ENSG00000006611	355
ENSG00000006625	1305
ENSG00000006634	1773
ENSG00000006638	48
ENSG00000006652	2368
ENSG00000006695	1162
ENSG00000006704	733
ENSG00000006712	764
ENSG00000006715	1652
ENSG00000006740	1210
ENSG00000006744	547
ENSG00000006747	407
ENSG00000006788	51
ENSG00000006831	658
ENSG00000006837	2618
ENSG00000007001	2076
ENSG00000007038	642
ENSG00000007047	1356
ENSG00000007062	290
ENSG00000007080	785
ENSG00000007129	831
ENSG00000007168	1543
